Date,Source,Merchant,Site,Discount
2021-09-12,Rakuten,Brodo,brodo.com,0.09
2021-09-12,Rakuten,Bronson Vitamins,bronsonvitamins.com,0.05
2021-09-12,Rakuten,Brook & York,brookandyork.com,0.05
2021-09-12,Rakuten,Brooklinen,brooklinen.com,0.01
2021-09-12,Rakuten,Brooks Brothers,brooksbrothers.com,0.03
2021-09-12,Rakuten,Brooks Running,brooksrunning.com,0.01
2021-09-12,Rakuten,Brookstone,brookstone.com,0.05
2021-09-12,Rakuten,Browns Fashion,brownsfashion.com,0.02
2021-09-12,Rakuten,Bruno MD,brunomd.com,0.045
2021-09-12,Rakuten,Bruush Oral Care,bruush.com,0.03
2021-09-12,Rakuten,Brydge,brydgekeyboards.com,0.04
2021-09-12,Rakuten,BrylaneHome,brylanehome.com,nan
2021-09-12,Rakuten,Buckle,buckle.com,0.025
2021-09-12,Rakuten,Budget Rent-A-Car,budget.com,0.01
2021-09-12,Rakuten,Buffalo David Bitton,buffalojeans.com,0.03
2021-09-12,Rakuten,Buffalo Wild Wings,buffalowildwings.com,0.025
2021-09-12,Rakuten,Buffy,buffy-co.com,0.015
2021-09-12,Rakuten,Bugatchi,bugatchi.com,0.04
2021-09-12,Rakuten,BuildASign,buildasign.com,0.015
2021-09-12,Rakuten,Built Bar,builtbar.com,0.07
2021-09-12,Rakuten,Bulk Office Supply,bulkofficesupply.com,0.025
2021-09-12,Rakuten,Bulldog Skincare,bulldogskincare.com,0.05
2021-09-12,Rakuten,Bulletproof,bulletproof.com,0.03
2021-09-12,Rakuten,Bullion Shark,bullionsharks.com,0.025
2021-09-12,Rakuten,Bulova,bulova.com,0.01
2021-09-12,Rakuten,Bumble and bumble,bumbleandbumble.com,0.04
2021-09-12,Rakuten,Burberry,burberry.com,nan
2021-09-12,Rakuten,Burkes Outlet,burkesoutlet.com,0.015
